@RELATION Points

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE w NUMERIC
@ATTRIBUTE t NUMERIC

@DATA
6.96 , 1.05 , 9.19 , 10.95 , 3.34
7.07 , 1.16 , 8.80 , 10.92 , 2.93
12.37 , 5.64 , 5.03 , 4.49 , 5.18
11.82 , 6.03 , 5.05 , 3.92 , 5.03
10.05 , 8.03 , 1.21 , 4.71 , 10.03
5.25 , 8.94 , 11.26 , 10.05 , 12.06
1.22 , 1.84 , 2.97 , 0.88 , 7.19
12.14 , 6.09 , 5.38 , 4.40 , 4.93
7.35 , 0.90 , 9.31 , 10.97 , 3.14
5.49 , 9.33 , 10.72 , 10.10 , 12.08
0.90 , 2.13 , 2.97 , 0.74 , 6.96
11.97 , 6.02 , 5.13 , 3.96 , 5.13
7.10 , 1.18 , 9.02 , 11.03 , 3.03
4.87 , 9.04 , 10.84 , 10.13 , 12.11
5.05 , 8.95 , 10.96 , 10.03 , 12.07
8.10 , 3.98 , 8.12 , 7.10 , 8.88
7.94 , 4.01 , 8.12 , 6.91 , 9.08
5.06 , 9.01 , 11.04 , 9.92 , 11.71
9.59 , 8.50 , 1.09 , 4.93 , 10.01
11.96 , 5.86 , 5.12 , 3.98 , 4.64
12.24 , 5.85 , 5.30 , 4.12 , 4.92
9.96 , 7.81 , 1.37 , 4.92 , 9.72
0.72 , 2.36 , 3.21 , 0.81 , 6.83
6.62 , 1.04 , 9.24 , 10.81 , 3.28
1.03 , 2.12 , 2.66 , 0.99 , 7.05
12.01 , 6.03 , 5.14 , 4.14 , 5.07
6.79 , 0.94 , 8.89 , 10.83 , 3.35
9.95 , 8.09 , 1.05 , 4.76 , 10.01
4.75 , 9.07 , 11.23 , 9.74 , 12.14
4.84 , 9.11 , 10.92 , 9.82 , 11.67
10.14 , 8.07 , 1.15 , 4.88 , 10.23
8.13 , 4.20 , 8.25 , 6.87 , 8.80
11.82 , 5.94 , 4.75 , 4.05 , 5.03
12.36 , 6.06 , 5.20 , 3.80 , 5.13
6.82 , 1.16 , 9.52 , 11.15 , 2.90
12.14 , 6.16 , 4.83 , 4.18 , 4.86
5.23 , 8.86 , 11.11 , 10.08 , 11.62
11.83 , 6.16 , 4.96 , 3.78 , 5.17
12.02 , 6.15 , 5.20 , 3.89 , 5.13
4.89 , 9.17 , 11.29 , 9.92 , 11.98
11.92 , 6.37 , 5.03 , 4.13 , 4.86
11.99 , 5.50 , 4.76 , 3.98 , 4.97
5.19 , 9.41 , 11.24 , 9.59 , 12.08
6.80 , 0.94 , 8.90 , 11.19 , 2.86
8.11 , 4.01 , 8.24 , 7.03 , 9.04
11.80 , 6.22 , 5.20 , 4.05 , 5.31
12.08 , 5.83 , 5.27 , 3.90 , 5.02
1.27 , 2.04 , 3.19 , 1.02 , 7.06
12.11 , 5.79 , 4.99 , 4.05 , 5.11
12.04 , 5.96 , 5.17 , 4.13 , 4.93
1.04 , 1.63 , 3.10 , 1.05 , 7.03
4.82 , 8.88 , 10.88 , 9.84 , 12.03
11.91 , 5.82 , 4.92 , 3.86 , 5.23
6.81 , 1.09 , 8.98 , 11.27 , 3.05
11.86 , 6.16 , 4.81 , 3.75 , 4.98
12.18 , 5.95 , 4.47 , 3.59 , 4.86
9.81 , 7.74 , 0.99 , 4.73 , 10.02
0.90 , 2.54 , 3.08 , 0.76 , 6.85
11.73 , 5.68 , 4.80 , 3.85 , 4.97
11.98 , 5.74 , 5.16 , 4.16 , 5.08
12.10 , 6.24 , 5.01 , 3.88 , 5.13
11.95 , 6.19 , 4.83 , 4.15 , 5.00
9.96 , 7.62 , 0.66 , 4.77 , 9.71
11.93 , 5.82 , 5.06 , 4.07 , 5.26
11.73 , 5.95 , 4.60 , 4.45 , 4.94
7.10 , 0.96 , 9.11 , 10.41 , 3.00
7.27 , 1.06 , 9.26 , 11.26 , 2.99
4.72 , 9.03 , 11.08 , 9.56 , 12.15
5.09 , 9.16 , 11.00 , 9.92 , 12.10
12.17 , 5.83 , 5.08 , 3.79 , 4.74
5.12 , 9.20 , 11.01 , 9.94 , 11.85
6.80 , 0.95 , 9.23 , 10.95 , 2.96
11.85 , 6.09 , 4.63 , 4.19 , 4.87
4.51 , 9.09 , 11.09 , 9.67 , 12.14
7.46 , 0.66 , 8.67 , 11.20 , 3.11
11.79 , 6.16 , 5.13 , 4.20 , 4.82
11.95 , 5.98 , 4.97 , 3.80 , 4.57
11.91 , 6.27 , 4.90 , 4.13 , 4.88
6.59 , 0.89 , 9.03 , 10.96 , 2.93
12.18 , 6.11 , 5.12 , 4.02 , 4.87
12.09 , 6.16 , 5.03 , 3.94 , 4.76
11.87 , 5.82 , 5.11 , 4.30 , 5.00
11.60 , 6.04 , 5.04 , 4.14 , 4.67
11.62 , 6.03 , 5.05 , 4.01 , 5.29
6.86 , 1.16 , 9.40 , 11.31 , 3.01
11.96 , 6.18 , 4.98 , 3.94 , 5.25
0.65 , 2.56 , 2.80 , 0.97 , 7.62
9.83 , 7.97 , 1.07 , 4.83 , 10.10
12.00 , 6.24 , 4.87 , 3.66 , 5.39
8.14 , 4.32 , 7.88 , 6.84 , 8.78
0.96 , 1.77 , 2.86 , 1.26 , 7.32
6.90 , 1.03 , 8.70 , 11.07 , 3.05
7.25 , 1.49 , 8.83 , 10.91 , 3.11
9.63 , 8.05 , 0.99 , 5.08 , 9.89
11.83 , 6.19 , 5.30 , 4.00 , 5.04
11.67 , 5.82 , 5.17 , 3.75 , 4.85
8.31 , 3.96 , 8.29 , 7.02 , 9.24
4.62 , 8.87 , 11.39 , 9.90 , 12.01
10.07 , 8.07 , 1.11 , 5.19 , 10.12
5.16 , 9.03 , 10.99 , 10.06 , 12.34
4.70 , 8.52 , 11.14 , 9.91 , 12.37
6.93 , 0.94 , 8.40 , 10.85 , 2.91
12.30 , 6.21 , 5.09 , 4.07 , 5.14
4.74 , 8.72 , 10.81 , 10.06 , 11.90
12.39 , 5.80 , 4.89 , 3.86 , 4.99
11.99 , 5.91 , 5.02 , 4.14 , 4.79
5.28 , 8.99 , 11.24 , 9.97 , 11.77
6.87 , 1.30 , 9.01 , 10.97 , 2.74
4.84 , 8.92 , 10.89 , 9.82 , 11.99
12.00 , 5.97 , 5.33 , 4.24 , 4.66
10.11 , 7.58 , 1.12 , 4.98 , 9.91
11.81 , 5.99 , 5.04 , 4.00 , 4.82
11.86 , 5.96 , 4.82 , 4.02 , 4.93
12.20 , 6.22 , 5.03 , 4.05 , 5.16
1.00 , 2.00 , 2.97 , 0.82 , 7.08
12.01 , 6.02 , 5.16 , 3.84 , 4.81
5.59 , 8.55 , 11.21 , 9.76 , 12.06
7.07 , 0.95 , 9.10 , 11.01 , 2.89
9.87 , 7.99 , 1.05 , 4.90 , 9.97
10.30 , 7.69 , 0.97 , 5.42 , 9.95
4.93 , 8.95 , 11.22 , 9.83 , 11.70
7.99 , 3.88 , 8.13 , 7.06 , 9.01
11.72 , 5.90 , 5.16 , 4.34 , 4.88
7.66 , 4.17 , 8.37 , 7.10 , 9.39
9.92 , 8.29 , 0.96 , 4.93 , 9.68
12.02 , 6.41 , 4.71 , 4.21 , 5.04
12.17 , 5.82 , 4.94 , 3.77 , 4.55
5.04 , 8.98 , 11.16 , 9.93 , 11.73
10.16 , 8.18 , 1.10 , 4.55 , 10.05
10.02 , 8.02 , 0.90 , 5.27 , 9.98
11.85 , 6.02 , 4.90 , 4.03 , 5.23
7.91 , 4.21 , 7.98 , 7.48 , 8.98
10.04 , 8.01 , 0.92 , 5.15 , 9.75
11.94 , 5.84 , 5.42 , 3.93 , 4.86
7.21 , 1.11 , 8.95 , 11.05 , 3.14
12.06 , 5.78 , 5.15 , 3.87 , 4.95
11.79 , 6.17 , 5.26 , 4.06 , 4.90
7.23 , 1.06 , 9.12 , 10.62 , 3.26
9.92 , 7.67 , 1.13 , 4.97 , 9.97
11.64 , 6.29 , 4.86 , 4.00 , 4.84
4.85 , 8.87 , 11.09 , 9.83 , 12.29
11.93 , 5.81 , 5.23 , 3.91 , 4.77
12.04 , 6.32 , 4.93 , 3.57 , 5.04
11.73 , 5.87 , 5.05 , 3.79 , 4.92
11.98 , 5.89 , 5.08 , 4.13 , 5.53
8.15 , 3.88 , 7.95 , 6.91 , 8.99
9.96 , 7.78 , 1.07 , 5.02 , 10.42
10.34 , 8.22 , 1.03 , 4.88 , 10.24
11.84 , 6.00 , 5.11 , 4.42 , 5.43
12.16 , 6.10 , 5.03 , 4.17 , 4.83
11.83 , 6.04 , 4.83 , 3.96 , 5.23
7.03 , 0.72 , 8.86 , 10.78 , 3.10
7.57 , 4.09 , 8.22 , 7.02 , 9.12
7.00 , 1.07 , 8.84 , 11.20 , 2.89
12.18 , 5.78 , 4.87 , 4.30 , 4.55
9.79 , 8.37 , 1.04 , 4.94 , 10.15
6.93 , 0.58 , 9.02 , 10.91 , 3.21
4.83 , 9.10 , 11.10 , 10.11 , 12.04
9.97 , 8.11 , 1.28 , 4.91 , 9.94
7.80 , 3.97 , 8.02 , 7.19 , 8.84
4.44 , 9.25 , 10.57 , 9.84 , 11.95
9.97 , 8.26 , 1.13 , 5.18 , 9.78
1.14 , 1.90 , 2.98 , 1.32 , 6.98
8.10 , 3.72 , 7.85 , 6.94 , 8.94
12.26 , 6.18 , 5.27 , 4.14 , 5.25
11.97 , 5.60 , 5.22 , 3.95 , 5.06
9.93 , 7.72 , 1.23 , 5.25 , 9.83
7.90 , 3.83 , 8.17 , 7.03 , 8.99
10.18 , 7.65 , 1.04 , 4.62 , 9.94
4.97 , 8.92 , 10.95 , 9.71 , 11.99
4.81 , 8.96 , 11.13 , 9.84 , 12.29
9.85 , 7.87 , 0.68 , 4.94 , 9.93
10.06 , 8.18 , 1.19 , 5.15 , 9.71
8.01 , 3.89 , 8.17 , 7.03 , 9.17
6.98 , 1.06 , 9.13 , 10.88 , 3.08
5.48 , 8.60 , 11.13 , 9.70 , 12.12
10.18 , 7.90 , 0.84 , 4.77 , 10.20
5.10 , 8.90 , 11.33 , 9.87 , 11.46
12.37 , 5.95 , 4.86 , 3.57 , 4.69
10.14 , 7.93 , 0.77 , 5.01 , 10.03
11.88 , 6.10 , 5.17 , 3.93 , 5.10
12.34 , 5.79 , 4.73 , 3.84 , 4.97
6.94 , 1.17 , 9.39 , 11.03 , 2.79
12.05 , 6.00 , 5.21 , 3.92 , 4.92
6.99 , 0.87 , 9.11 , 11.08 , 3.02
5.13 , 8.99 , 10.82 , 9.81 , 11.70
5.05 , 9.17 , 11.09 , 10.08 , 11.93
7.36 , 0.68 , 8.80 , 11.45 , 3.11
12.17 , 5.96 , 4.97 , 4.10 , 4.82
11.91 , 6.17 , 5.19 , 4.17 , 4.96
7.97 , 3.78 , 8.19 , 7.04 , 8.82
0.90 , 1.77 , 2.76 , 1.03 , 7.29
9.59 , 7.82 , 0.49 , 5.14 , 9.75
4.72 , 8.99 , 10.83 , 10.07 , 12.33
6.89 , 1.33 , 9.07 , 10.73 , 3.15
6.84 , 1.11 , 9.04 , 10.84 , 2.99
5.30 , 8.81 , 10.92 , 10.50 , 12.08
7.14 , 0.95 , 9.52 , 10.83 , 2.77
11.91 , 5.96 , 5.16 , 4.10 , 4.93
12.14 , 5.72 , 4.99 , 4.09 , 4.89
7.05 , 1.01 , 8.88 , 10.95 , 3.24
10.11 , 7.95 , 1.04 , 5.19 , 10.24
5.18 , 8.86 , 11.07 , 9.66 , 11.74
12.06 , 6.10 , 5.34 , 3.99 , 4.85
7.12 , 1.28 , 8.91 , 10.90 , 3.16
12.12 , 6.42 , 5.32 , 4.18 , 5.05
12.13 , 6.23 , 4.73 , 3.68 , 5.55
6.93 , 0.92 , 8.87 , 10.98 , 3.17
1.10 , 1.93 , 3.13 , 0.87 , 6.79
11.92 , 5.91 , 4.93 , 4.19 , 4.66
8.27 , 4.26 , 8.09 , 7.00 , 9.09
6.72 , 0.91 , 9.08 , 11.07 , 2.83
12.17 , 6.01 , 5.06 , 3.88 , 5.10
12.11 , 6.08 , 5.01 , 4.19 , 4.93
5.43 , 9.01 , 11.03 , 10.08 , 11.94
6.63 , 0.95 , 9.22 , 11.12 , 3.15
12.15 , 5.88 , 4.78 , 3.89 , 4.88
8.08 , 4.07 , 7.72 , 6.86 , 8.97
12.51 , 6.03 , 4.57 , 3.62 , 5.37
4.94 , 8.83 , 11.36 , 10.24 , 11.85
11.68 , 5.72 , 5.49 , 4.26 , 5.08
11.62 , 5.84 , 5.17 , 4.00 , 5.15
9.79 , 8.34 , 0.60 , 4.98 , 9.63
6.79 , 0.98 , 9.15 , 11.38 , 3.26
7.20 , 1.16 , 8.90 , 10.82 , 2.77
11.70 , 5.58 , 5.26 , 4.31 , 4.88
7.38 , 4.00 , 8.25 , 7.07 , 9.25
4.79 , 8.90 , 11.32 , 9.99 , 12.01
7.21 , 0.98 , 8.73 , 11.22 , 3.11
8.04 , 3.89 , 8.09 , 6.92 , 9.12
8.25 , 4.07 , 8.13 , 7.20 , 9.08
11.61 , 6.16 , 4.90 , 4.08 , 4.69
7.14 , 1.18 , 8.88 , 10.92 , 3.15
12.06 , 6.19 , 4.89 , 4.13 , 4.97
12.09 , 6.39 , 4.99 , 4.12 , 4.84
7.08 , 1.13 , 8.92 , 11.25 , 3.10
7.71 , 4.04 , 8.09 , 6.97 , 8.62
12.19 , 6.02 , 5.21 , 3.84 , 4.91
6.86 , 1.54 , 9.13 , 11.00 , 3.05
4.95 , 9.35 , 10.78 , 9.84 , 11.92
5.36 , 9.12 , 11.01 , 9.96 , 12.04
9.83 , 7.63 , 0.97 , 4.85 , 9.99
12.06 , 5.84 , 4.86 , 3.63 , 4.92
0.66 , 2.18 , 3.21 , 0.72 , 7.26
12.13 , 5.71 , 5.14 , 3.82 , 5.05
6.85 , 0.88 , 8.73 , 10.83 , 3.18
5.23 , 9.12 , 10.79 , 9.87 , 12.03
7.10 , 0.79 , 9.15 , 11.02 , 2.99
0.52 , 2.04 , 2.88 , 1.16 , 6.94
12.25 , 6.45 , 4.80 , 3.79 , 4.84
12.47 , 5.47 , 5.04 , 3.97 , 4.84
0.77 , 2.14 , 3.10 , 1.21 , 7.23
6.75 , 1.12 , 8.98 , 11.14 , 3.07
6.96 , 1.26 , 9.12 , 11.08 , 2.71
12.02 , 6.09 , 5.01 , 3.99 , 5.12
8.18 , 3.70 , 8.11 , 6.95 , 9.11
9.82 , 8.40 , 1.02 , 5.09 , 10.01
7.17 , 0.91 , 9.16 , 10.89 , 2.75
5.03 , 8.79 , 10.92 , 10.08 , 11.82
8.05 , 4.20 , 8.16 , 7.18 , 9.02
1.07 , 2.09 , 3.34 , 1.06 , 6.99
7.37 , 0.88 , 9.08 , 11.42 , 3.07
8.14 , 4.24 , 8.17 , 6.79 , 9.18
12.08 , 6.23 , 4.96 , 3.82 , 5.25
9.83 , 8.11 , 0.81 , 4.79 , 10.17
11.98 , 6.06 , 5.00 , 3.82 , 5.08
12.13 , 5.94 , 5.02 , 3.84 , 5.24
4.99 , 8.90 , 11.28 , 9.77 , 12.03
11.80 , 5.68 , 5.11 , 3.75 , 5.06
7.94 , 3.82 , 8.11 , 7.12 , 9.22
4.98 , 9.48 , 11.19 , 10.05 , 11.95
6.82 , 0.86 , 9.21 , 11.05 , 3.03
11.90 , 5.97 , 5.14 , 3.63 , 4.77
6.59 , 0.62 , 9.21 , 11.03 , 2.82
7.25 , 0.78 , 9.04 , 11.16 , 3.04
4.87 , 9.17 , 11.44 , 10.18 , 12.24
12.10 , 6.05 , 4.76 , 4.17 , 5.68
11.92 , 5.83 , 4.77 , 3.88 , 4.78
11.84 , 6.07 , 5.26 , 3.78 , 4.95
0.87 , 1.98 , 2.66 , 0.99 , 7.05
12.28 , 6.12 , 5.07 , 4.26 , 5.24
7.86 , 3.82 , 8.23 , 6.88 , 8.81
11.90 , 6.12 , 4.87 , 3.94 , 4.96
11.94 , 5.87 , 5.15 , 4.22 , 4.59
11.64 , 6.26 , 4.97 , 4.39 , 5.11
12.20 , 5.91 , 5.18 , 3.96 , 5.17
10.07 , 8.34 , 1.05 , 5.14 , 9.80
6.56 , 1.15 , 9.13 , 10.77 , 3.50
0.98 , 2.09 , 2.81 , 1.29 , 6.90
8.11 , 4.02 , 7.79 , 6.88 , 8.95
5.16 , 8.87 , 11.01 , 10.38 , 11.62
12.15 , 6.16 , 4.91 , 4.04 , 5.32
11.74 , 6.16 , 5.43 , 4.18 , 4.70
12.12 , 6.08 , 4.81 , 4.13 , 4.96
4.84 , 9.06 , 11.05 , 10.11 , 12.01
7.09 , 0.98 , 8.86 , 11.70 , 3.09
11.92 , 5.90 , 4.96 , 4.00 , 5.09
1.22 , 2.05 , 2.72 , 1.14 , 6.62
12.13 , 5.93 , 5.20 , 4.07 , 5.31
5.02 , 9.17 , 11.26 , 10.07 , 12.00
7.78 , 3.97 , 7.76 , 7.31 , 8.80
6.93 , 0.99 , 8.59 , 11.22 , 2.46
12.30 , 6.11 , 4.66 , 4.07 , 5.31
12.00 , 5.91 , 5.38 , 4.10 , 5.08
11.74 , 5.95 , 4.79 , 4.07 , 5.19
5.01 , 8.96 , 11.17 , 10.10 , 11.76
7.28 , 0.93 , 8.92 , 11.07 , 2.95
7.79 , 4.07 , 7.96 , 7.04 , 9.36
11.81 , 6.14 , 4.80 , 3.84 , 5.12
11.80 , 6.20 , 4.84 , 4.03 , 5.38
0.73 , 2.03 , 2.87 , 1.67 , 7.01
11.76 , 5.96 , 5.01 , 3.84 , 5.23
12.38 , 6.11 , 5.00 , 4.15 , 5.05
11.94 , 5.96 , 4.92 , 4.10 , 5.23
7.91 , 4.10 , 7.58 , 7.06 , 8.91
5.40 , 9.35 , 11.01 , 10.06 , 12.25
11.63 , 6.13 , 4.68 , 3.79 , 4.93
9.99 , 7.94 , 0.81 , 5.11 , 10.09
12.05 , 5.94 , 5.06 , 4.12 , 4.90
7.84 , 3.86 , 8.48 , 7.18 , 8.89
5.05 , 8.62 , 10.97 , 10.00 , 11.92
4.64 , 8.83 , 10.84 , 10.17 , 12.40
11.77 , 6.03 , 5.14 , 3.76 , 5.06
6.86 , 0.84 , 8.85 , 11.14 , 3.01
11.82 , 6.05 , 5.18 , 4.17 , 5.38
11.87 , 6.10 , 4.94 , 4.02 , 5.02
6.91 , 0.70 , 9.41 , 11.10 , 2.92
12.19 , 5.96 , 4.68 , 4.18 , 4.96
12.05 , 6.10 , 4.85 , 4.32 , 4.64
12.05 , 5.79 , 4.83 , 4.29 , 5.20
7.02 , 1.03 , 9.28 , 11.14 , 2.97
6.73 , 1.10 , 9.06 , 11.18 , 3.19
11.82 , 5.73 , 4.95 , 4.28 , 4.97
11.65 , 6.12 , 4.59 , 4.02 , 5.09
11.95 , 5.92 , 4.94 , 4.14 , 4.91
4.96 , 9.04 , 10.86 , 9.98 , 11.82
11.98 , 5.97 , 4.92 , 3.96 , 4.96
12.08 , 6.24 , 5.25 , 4.11 , 5.45
7.75 , 3.82 , 7.98 , 7.11 , 8.89
7.13 , 0.78 , 9.01 , 11.20 , 2.49
12.10 , 5.81 , 5.11 , 4.44 , 4.92
7.39 , 1.12 , 8.98 , 11.00 , 3.06
11.95 , 6.11 , 5.13 , 4.36 , 4.93
12.00 , 6.23 , 5.14 , 3.95 , 4.94
11.67 , 5.81 , 5.00 , 3.98 , 4.78
1.23 , 1.92 , 3.09 , 0.95 , 6.89
7.16 , 1.10 , 9.11 , 11.01 , 2.84
5.24 , 8.75 , 10.87 , 9.75 , 11.63
12.16 , 5.54 , 4.92 , 4.08 , 5.06
4.85 , 9.09 , 10.71 , 9.89 , 12.11
7.32 , 1.10 , 9.06 , 11.05 , 3.08
1.04 , 2.19 , 2.79 , 0.79 , 6.98
10.64 , 7.68 , 1.06 , 4.80 , 10.17
12.21 , 6.18 , 4.80 , 4.10 , 5.48
1.02 , 2.31 , 3.27 , 1.11 , 6.91
11.60 , 6.33 , 4.67 , 4.12 , 4.72
12.07 , 6.28 , 5.00 , 4.02 , 5.31
11.97 , 5.78 , 4.92 , 4.13 , 4.90
10.23 , 7.74 , 0.99 , 4.87 , 9.84
6.95 , 1.35 , 9.08 , 10.95 , 2.85
11.68 , 6.19 , 5.62 , 3.86 , 4.95
11.81 , 5.89 , 4.78 , 4.04 , 4.89
10.12 , 8.31 , 1.12 , 5.09 , 9.84
11.88 , 5.83 , 4.74 , 4.22 , 4.51
4.76 , 9.00 , 10.73 , 10.11 , 12.14
12.00 , 5.92 , 4.74 , 3.97 , 5.03
12.12 , 6.11 , 5.11 , 3.93 , 4.82
11.97 , 5.94 , 5.14 , 4.01 , 5.05
12.39 , 6.01 , 5.03 , 4.00 , 5.22
7.25 , 0.97 , 8.83 , 10.64 , 3.06
4.80 , 8.97 , 10.78 , 10.04 , 11.94
0.92 , 2.08 , 3.39 , 0.84 , 7.24
11.73 , 6.12 , 4.92 , 4.29 , 5.16
4.45 , 9.14 , 10.95 , 9.93 , 11.76
6.82 , 1.02 , 9.08 , 11.23 , 2.93
6.78 , 0.93 , 8.98 , 10.92 , 3.26
10.09 , 8.08 , 0.91 , 5.05 , 10.22
5.62 , 9.01 , 11.11 , 10.20 , 12.02
12.07 , 6.02 , 4.85 , 3.91 , 4.89
0.59 , 2.14 , 2.92 , 1.25 , 6.83
7.13 , 0.98 , 9.41 , 11.23 , 3.12
11.72 , 5.98 , 4.75 , 4.18 , 5.38
7.25 , 0.89 , 9.03 , 10.63 , 3.19
5.22 , 9.11 , 11.18 , 9.81 , 11.74
6.98 , 1.33 , 9.25 , 11.29 , 3.02
4.91 , 9.17 , 11.58 , 10.06 , 12.04
6.86 , 1.24 , 8.82 , 11.01 , 2.73
8.10 , 4.18 , 7.92 , 7.01 , 8.91
5.25 , 8.93 , 11.00 , 9.94 , 12.33
9.89 , 8.00 , 0.61 , 5.10 , 9.90
11.71 , 5.80 , 4.58 , 4.07 , 5.02
12.27 , 6.18 , 4.83 , 4.17 , 5.05
12.12 , 5.89 , 4.98 , 3.96 , 5.34
9.76 , 8.12 , 1.16 , 4.64 , 10.20
10.29 , 8.00 , 1.33 , 5.09 , 9.99
12.04 , 6.33 , 5.15 , 3.92 , 4.90
5.01 , 8.70 , 11.26 , 9.73 , 12.08
9.79 , 7.95 , 1.37 , 5.16 , 9.78
12.16 , 5.90 , 4.56 , 4.30 , 4.71
7.57 , 3.68 , 7.94 , 6.73 , 9.26
12.51 , 5.81 , 5.21 , 4.18 , 5.05
12.30 , 6.19 , 5.01 , 3.81 , 5.15
4.81 , 9.08 , 11.21 , 10.04 , 12.14
11.92 , 6.00 , 5.12 , 4.06 , 4.91
11.51 , 6.11 , 5.50 , 3.97 , 4.89
6.89 , 0.98 , 8.93 , 11.09 , 3.17
11.97 , 6.36 , 5.18 , 4.21 , 5.05
0.73 , 2.07 , 2.89 , 1.37 , 6.89
7.96 , 4.06 , 8.23 , 6.94 , 9.24
11.76 , 5.73 , 4.90 , 3.88 , 4.68
11.82 , 6.37 , 5.10 , 3.86 , 4.68
8.37 , 4.09 , 8.24 , 7.06 , 9.21
0.78 , 1.85 , 3.12 , 0.86 , 6.97
11.98 , 5.77 , 5.19 , 3.72 , 5.02
11.92 , 5.89 , 4.97 , 3.70 , 4.78
5.08 , 8.82 , 10.86 , 10.22 , 11.94
5.30 , 9.04 , 11.13 , 10.03 , 12.12
11.54 , 6.18 , 4.97 , 3.84 , 5.04
11.97 , 6.00 , 5.34 , 4.24 , 4.93
10.02 , 8.07 , 0.86 , 5.07 , 9.79
12.15 , 5.82 , 4.90 , 4.07 , 5.00
11.92 , 5.61 , 4.99 , 3.70 , 4.99
4.88 , 8.65 , 10.73 , 10.04 , 11.89
12.04 , 6.01 , 4.95 , 4.27 , 5.23
11.91 , 5.84 , 4.99 , 4.14 , 4.75
9.99 , 8.10 , 1.11 , 4.93 , 10.01
12.04 , 6.46 , 5.03 , 4.00 , 5.22
11.84 , 5.96 , 4.84 , 3.25 , 5.26
7.87 , 4.09 , 7.91 , 7.13 , 9.42
12.04 , 6.01 , 5.24 , 4.23 , 5.44
7.80 , 3.91 , 8.16 , 6.97 , 9.02
5.22 , 9.03 , 11.17 , 10.16 , 12.56
11.86 , 5.94 , 4.96 , 4.11 , 5.04
6.78 , 0.73 , 8.88 , 11.12 , 2.93
7.98 , 4.06 , 8.01 , 7.19 , 9.14
12.10 , 5.64 , 4.91 , 3.91 , 5.21
12.11 , 6.21 , 5.29 , 3.87 , 4.97
5.04 , 9.24 , 11.24 , 9.96 , 12.29
11.81 , 6.37 , 4.77 , 3.73 , 5.02
10.25 , 7.82 , 1.10 , 5.11 , 9.88
10.24 , 8.09 , 0.72 , 5.00 , 9.80
12.03 , 5.82 , 4.94 , 4.21 , 5.29
12.06 , 5.94 , 4.80 , 4.09 , 5.00
4.91 , 8.93 , 11.10 , 9.88 , 12.11
1.03 , 2.04 , 3.45 , 0.75 , 7.17
11.99 , 6.35 , 5.30 , 4.12 , 4.92
6.91 , 0.70 , 9.24 , 11.12 , 3.00
4.97 , 9.47 , 10.75 , 9.89 , 11.98
12.17 , 5.87 , 4.83 , 3.82 , 5.05
7.08 , 1.27 , 8.68 , 11.20 , 3.02
7.92 , 3.86 , 8.01 , 6.92 , 8.96
11.74 , 5.78 , 4.95 , 3.85 , 4.99
5.17 , 9.20 , 10.91 , 9.88 , 12.03
12.03 , 6.34 , 5.16 , 4.17 , 5.27
4.62 , 9.07 , 10.92 , 10.03 , 11.91
8.20 , 4.15 , 8.26 , 7.10 , 9.10
7.71 , 4.12 , 8.20 , 7.13 , 9.07
7.04 , 1.29 , 8.93 , 11.00 , 3.05
7.08 , 0.83 , 9.12 , 11.08 , 3.06
12.02 , 5.65 , 4.89 , 3.97 , 5.21
10.05 , 7.96 , 1.18 , 4.70 , 9.97
5.16 , 9.23 , 11.09 , 10.22 , 12.03
12.17 , 5.95 , 4.92 , 3.98 , 4.93
8.08 , 4.03 , 7.91 , 7.10 , 9.07
11.76 , 6.12 , 4.79 , 4.25 , 5.03
6.79 , 0.79 , 8.81 , 10.69 , 3.30
12.09 , 5.78 , 4.78 , 4.34 , 4.62
0.92 , 1.90 , 2.65 , 1.22 , 7.21
7.21 , 1.16 , 9.14 , 10.75 , 3.09
6.89 , 1.08 , 8.79 , 10.43 , 2.89
5.03 , 8.98 , 10.77 , 9.84 , 12.09
7.10 , 1.21 , 8.97 , 11.38 , 3.23
10.19 , 7.70 , 1.04 , 5.38 , 10.14
12.00 , 6.06 , 5.15 , 4.20 , 5.34
7.66 , 3.86 , 7.99 , 7.08 , 9.00
4.70 , 9.35 , 11.21 , 9.80 , 11.95
4.75 , 8.86 , 11.35 , 10.01 , 12.36
10.35 , 8.04 , 0.88 , 4.89 , 9.93
12.03 , 5.95 , 5.27 , 3.87 , 4.78
12.36 , 5.97 , 5.05 , 3.99 , 5.05
11.93 , 5.89 , 5.09 , 3.81 , 4.60
4.94 , 9.07 , 10.73 , 10.13 , 11.93
7.81 , 3.92 , 8.07 , 7.11 , 8.72
7.24 , 0.77 , 9.05 , 10.96 , 3.25
6.96 , 1.01 , 8.91 , 10.97 , 3.14
7.84 , 4.24 , 7.79 , 6.97 , 9.02
12.28 , 6.15 , 4.97 , 4.21 , 5.42
5.17 , 9.29 , 11.03 , 10.14 , 11.82
7.96 , 3.96 , 8.23 , 6.91 , 9.00
11.94 , 5.86 , 4.86 , 3.85 , 4.88
11.69 , 6.24 , 4.67 , 3.53 , 5.02
1.01 , 2.18 , 2.72 , 1.07 , 7.04
5.23 , 8.94 , 10.87 , 9.83 , 11.76
12.15 , 6.17 , 5.06 , 3.75 , 5.54
4.98 , 8.74 , 11.40 , 9.84 , 12.28
12.31 , 5.68 , 5.00 , 4.08 , 4.81
